"name","breedname","speciesname","sex"
"april","russian blue","feline","female, spayed"
"april","domestic shorthair","feline","female, spayed"
"april marie","domestic shorthair","feline","female, spayed"
"aquarius","domestic shorthair","feline","male"
"aquarius","bouvier des flandres","canine","male"
"aquarius","pitbull","canine","male, neutered"
"aragorn","saint bernard mix","canine","male"
"aramis","coon, maine","feline","male, neutered"
"arby","rat, hooded","rat","female"
"archer","retriever, labrador","canine","male, neutered"
"archer","labradoodle","canine","male, neutered"
"archer","pitbull mix","canine","male, neutered"
"archer","domestic shorthair","feline","male, neutered"
"archer","catahoula leopard dog","canine","male"
"archer","retriever, labrador","canine","male, neutered"
"archer","malinois, belgian","canine","male"
"archer","mixed","canine","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","border collie","canine","male, neutered"
"archie","mixed","canine","male, neutered"
"archie","saint bernard mix","canine","male"
"archie","domestic shorthair","feline","male, neutered"
"archie","coonhound, redbone","canine","male, neutered"
"archie","goldendoodle, mini","canine","male, neutered"
"archie","bichon frise","canine","male, neutered"
"archie","maltese","canine","male, neutered"
"archie","domestic longhair","feline","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","spaniel, english springer","canine","male"
"archie","terrier, yorkshire","canine","male"
"archie","border collie","canine","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","domestic shorthair","feline","male"
"archie","domestic shorthair","feline","female, spayed"
"archie","terrier mix","canine","male, neutered"
"archie","dachshund","canine","male"
"archie","shepherd, australian","canine","male"
"archie","goldendoodle","canine","male, neutered"
"archie","labradoodle","canine","male, neutered"
"archie","shepherd, australian mix","canine","male, neutered"
"archie","mountain dog, bernese","canine","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","retriever, golden","canine","male"
"archie","mixed","canine","male"
"archie","labradoodle","canine","male, neutered"
"archie","retriever, labrador","canine","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","bichon frise","canine","male, neutered"
"archie","domestic shorthair","feline","male, neutered"
"archie","bulldog, french","canine","male"
"archimedes","domestic shorthair","feline","male, neutered"
